# Program:featureCounts v2.0.1; Command:"featureCounts" "-a" "/home/edu/mapping/Ath_TAIR10_genome/Arabidopsis_thaliana.TAIR10.52.gtf" "-o" "2022_03_04_feature_counts_gene_hisat2.txt" "-t" "gene" "-g" "gene_id" "-O" "-T" "4" "GFP-BRC1-2_hisat2_sorted.bam" "GFP-BRC1-4_hisat2_sorted.bam" "GFP-BRC1-5_hisat2_sorted.bam" "brc1-2-12_hisat2_sorted.bam" "brc1-2-6_hisat2_sorted.bam" "brc1-2-7_hisat2_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	GFP-BRC1-2_hisat2_sorted.bam	GFP-BRC1-4_hisat2_sorted.bam	GFP-BRC1-5_hisat2_sorted.bam	brc1-2-12_hisat2_sorted.bam	brc1-2-6_hisat2_sorted.bam	brc1-2-7_hisat2_sorted.bam
ATCG00200	Pt	27373	27443	+	71	2	2	1	3	4	5
ATCG00210	Pt	28089	28178	+	90	11	3	10	19	8	8
ATCG00220	Pt	28707	28811	-	105	7	14	16	30	22	7
ATCG00230	Pt	29801	29874	-	74	0	0	0	0	0	0
ATCG00240	Pt	30323	30406	-	84	0	0	0	1	0	0
ATCG00250	Pt	30466	30538	-	73	0	1	0	1	2	0
ATCG00260	Pt	31369	31440	+	72	0	0	0	0	2	0
ATCG00270	Pt	32711	33772	+	1062	163	50	161	345	164	57
ATCG00280	Pt	33720	35141	+	1422	439	141	484	826	443	184
ATCG00290	Pt	35312	35403	+	92	4	3	5	12	7	3
ATCG00300	Pt	35751	35939	+	189	17	1	10	28	16	13
ATCG00310	Pt	36490	36560	+	71	0	0	0	0	1	0
ATCG00320	Pt	36704	36777	-	74	2	2	1	1	2	0
ATCG00330	Pt	36938	37240	-	303	80	25	79	145	125	47
ATCG00340	Pt	37375	39579	-	2205	473	134	467	835	579	196
ATCG00350	Pt	39605	41857	-	2253	357	104	382	680	365	151
ATCG00360	Pt	42584	43751	-	1168	18	19	36	45	21	19
ATCG00370	Pt	44827	44913	+	87	3	0	5	2	4	5
ATCG00380	Pt	45223	45828	-	606	14	8	27	16	12	6
ATCG00390	Pt	46213	46285	-	73	5	5	4	1	2	3
ATCG00400	Pt	46894	47490	+	597	38	23	59	99	55	23
ATCG00410	Pt	48175	48247	+	73	1	0	4	0	1	1
ATCG00420	Pt	48677	49153	-	477	24	18	29	44	32	17
ATCG00430	Pt	49257	49934	-	678	27	31	47	69	91	28
ATCG00440	Pt	50001	50363	-	363	13	7	14	15	6	4
ATCG00450	Pt	51199	51871	-	673	872	1002	1103	947	1184	828
ATCG00460	Pt	52056	52128	+	73	2	1	5	0	3	2
ATCG00470	Pt	52265	52663	-	399	159	162	214	244	237	128
ATCG00480	Pt	52660	54156	-	1497	518	473	694	832	646	456
ATCG00490	Pt	54958	56397	+	1440	1157	298	1194	2558	1056	396
ATCG00500	Pt	57075	58541	+	1467	8	3	12	13	17	3
ATCG00510	Pt	59247	59360	+	114	3	2	1	4	8	0
ATCG00520	Pt	59772	60326	+	555	13	10	13	31	30	5
ATCG00530	Pt	60741	61430	+	690	65	95	113	126	78	62
ATCG00540	Pt	61657	62619	+	963	63	35	64	122	68	43
ATCG00550	Pt	63538	63660	-	123	25	16	38	51	31	20
ATCG00560	Pt	63804	63920	-	117	29	5	26	60	22	14
ATCG00570	Pt	63942	64061	-	120	21	8	19	68	26	8
ATCG00580	Pt	64071	64322	-	252	44	19	52	96	50	14
ATCG00590	Pt	65712	65807	+	96	5	4	7	19	5	7
ATCG00600	Pt	65998	66111	+	114	7	2	13	11	7	3
ATCG00610	Pt	66229	66302	-	74	3	2	0	7	6	1
ATCG00620	Pt	66490	66563	-	74	3	4	9	10	6	2
ATCG00630	Pt	66929	67063	+	135	123	139	194	218	268	114
ATCG00640	Pt	67488	67688	+	201	17	4	19	34	16	5
ATCG00650	Pt	67917	68222	+	306	10	7	12	14	16	8
ATCG00660	Pt	68512	68865	-	354	9	3	17	22	14	5
ATCG00065	Pt	69611	69724	-	114	10	7	18	6	8	4
ATCG00670	Pt	69910	71882	-	1973	166	154	215	212	226	117
ATCG00680	Pt	72371	73897	+	1527	237	144	326	510	261	153
ATCG00690	Pt	74082	74183	+	102	12	7	23	31	19	7
ATCG00700	Pt	74249	74380	-	132	13	10	23	42	27	12
ATCG00710	Pt	74485	74706	+	222	20	7	29	61	24	16
ATCG00720	Pt	74841	76292	+	1452	96	41	116	223	105	61
ATCG00730	Pt	76481	77672	+	1192	65	27	75	126	66	29
ATCG00740	Pt	77901	78890	-	990	43	22	53	85	62	23
ATCG00750	Pt	78960	79376	-	417	31	15	38	41	36	15
ATCG00760	Pt	79489	79602	-	114	15	6	13	14	16	4
ATCG00770	Pt	80068	80472	-	405	21	30	36	44	36	23
ATCG00780	Pt	80696	81064	-	369	79	64	98	113	88	78
ATCG00790	Pt	81189	82652	-	1464	194	269	236	260	331	197
ATCG00800	Pt	82826	83482	-	657	76	65	95	117	113	83
ATCG00810	Pt	83467	83949	-	483	62	72	81	73	61	46
ATCG00820	Pt	84005	84283	-	279	7	10	5	5	6	2
ATCG00830	Pt	84337	85843	-	1507	0	0	0	0	0	1
ATCG00840	Pt	85862	86143	-	282	0	0	0	0	0	0
ATCG00850	Pt	86312	86385	-	74	0	0	0	0	0	0
ATCG00860	Pt	86474	93358	+	6885	0	1	1	0	0	1
ATCG00870	Pt	93495	93728	+	234	0	0	0	0	0	0
ATCG00880	Pt	94276	94356	-	81	0	0	0	0	0	0
ATCG00890	Pt	94941	96795	-	1855	0	0	0	0	2	0
ATCG00900	Pt	97478	97945	-	468	0	0	0	1	0	1
ATCG00905	Pt	97999	98793	-	795	1	0	0	0	0	0
ATCG00910	Pt	100709	100780	+	72	0	0	0	0	0	0
ATCG00920	Pt	101012	102502	+	1491	6178	3627	23614	6532	6473	8021
ATCG00930	Pt	102801	103601	+	801	2	1	1	4	1	1
ATCG00940	Pt	103665	104538	+	874	1	0	1	3	1	0
ATCG00950	Pt	104691	107500	+	2810	1721	1194	5743	1798	1844	2032
ATCG00960	Pt	107599	107701	+	103	0	0	0	1	1	0
ATCG00970	Pt	107949	108069	+	121	1	0	0	1	0	0
ATCG00980	Pt	108302	108375	+	74	0	0	0	0	0	0
ATCG00990	Pt	109013	109084	-	72	0	0	0	0	1	1
ATCG01000	Pt	109405	110436	+	1032	1	0	1	1	0	1
ATCG01010	Pt	110398	112638	-	2241	7	4	10	29	22	8
ATCG01020	Pt	113449	113607	+	159	149	202	216	253	310	158
ATCG01030	Pt	114270	114349	+	80	0	1	0	0	0	1
ATCG01040	Pt	114461	115447	+	987	6	3	7	11	9	1
ATCG01050	Pt	115665	117185	-	1521	45	24	62	90	63	28
ATCG01060	Pt	117318	117563	-	246	12	13	20	35	21	9
ATCG01070	Pt	117804	118109	-	306	6	2	4	13	9	5
ATCG01080	Pt	118377	118907	-	531	12	1	15	21	9	7
ATCG01090	Pt	119244	119762	-	519	7	5	11	22	15	8
ATCG01100	Pt	119847	122009	-	2163	36	15	42	99	51	17
ATCG01110	Pt	122011	123192	-	1182	8	8	11	21	12	9
ATCG01120	Pt	123296	123562	-	267	3	1	2	3	3	0
ATCG01130	Pt	123884	129244	-	5361	190	104	506	183	215	188
ATCG01140	Pt	129565	129636	+	72	0	0	0	0	0	0
ATCG01150	Pt	130274	130347	-	74	0	0	0	0	0	0
ATCG01160	Pt	130580	130700	-	121	0	0	0	1	0	0
ATCG01170	Pt	130948	131050	-	103	1	0	0	0	0	0
ATCG01180	Pt	131149	133958	-	2810	1744	1025	5762	1870	1924	2111
ATCG01190	Pt	134111	134984	-	874	1	1	0	0	2	2
ATCG01200	Pt	135048	135848	-	801	2	1	1	4	1	0
ATCG01210	Pt	136147	137637	-	1491	9287	5256	34925	9959	9328	11825
ATCG01220	Pt	137869	137940	-	72	0	0	0	0	0	0
ATCG01230	Pt	139856	140650	+	795	1	0	0	0	0	1
ATCG01240	Pt	140704	141171	+	468	0	0	1	2	0	0
ATCG01250	Pt	141854	143708	+	1855	0	0	0	0	2	1
ATCG01260	Pt	144293	144373	+	81	0	0	0	0	0	0
ATCG01270	Pt	144921	145154	-	234	0	0	0	0	0	0
ATCG01280	Pt	145291	152175	-	6885	1	0	1	0	0	0
ATCG01290	Pt	152264	152337	+	74	0	0	0	0	0	0
ATCG01300	Pt	152506	152787	+	282	0	0	0	1	0	0
ATCG01310	Pt	152806	154312	+	1507	0	1	0	1	1	1
ATMG00010	Mt	273	734	-	462	1	0	0	2	0	0
ATMG00020	Mt	8848	11415	-	2568	5352	2961	10750	7291	6865	4199
ATMG00030	Mt	11918	12241	+	324	506	298	1069	647	725	474
ATMG00040	Mt	16844	17791	-	948	3	4	15	5	12	12
ATMG00050	Mt	16856	17251	+	396	2	3	14	3	10	11
ATMG00060	Mt	20571	22086	-	1516	152	185	232	158	286	136
ATMG00070	Mt	23663	24235	-	573	10	6	17	18	16	13
ATMG00080	Mt	25076	25615	-	540	13	3	13	14	11	10
ATMG00090	Mt	25482	28733	-	3252	212	242	268	190	322	210
ATMG00100	Mt	28898	28970	-	73	0	0	0	0	0	0
ATMG00110	Mt	30463	31083	+	621	9	6	11	11	9	4
ATMG00120	Mt	32041	32472	-	432	0	2	0	2	2	0
ATMG00130	Mt	34190	34555	+	366	0	1	1	3	1	1
ATMG00140	Mt	34599	35102	+	504	4	2	5	2	2	3
ATMG00150	Mt	35782	36132	+	351	0	3	3	2	0	1
ATMG00160	Mt	40502	42628	-	2127	214	230	253	189	307	156
ATMG09450	Mt	47103	47182	+	80	0	0	0	0	0	0
ATMG00170	Mt	48113	48532	+	420	0	0	0	0	0	0
ATMG00180	Mt	51293	53611	-	2319	0	0	0	0	0	0
ATMG00190	Mt	53736	53807	-	72	0	0	0	0	0	0
ATMG00200	Mt	55767	56090	-	324	1	0	0	0	0	0
ATMG00210	Mt	57774	58331	+	558	0	0	0	0	0	0
ATMG00220	Mt	60235	61416	+	1182	0	0	0	0	0	0
ATMG00230	Mt	62349	62435	+	87	0	0	0	0	0	0
ATMG00240	Mt	68918	69253	-	336	0	0	0	0	0	0
ATMG00250	Mt	71453	71526	+	74	0	0	0	0	0	0
ATMG00260	Mt	76132	76437	+	306	0	0	0	0	0	0
ATMG00270	Mt	76642	77259	-	618	0	0	0	0	0	0
ATMG00280	Mt	77819	78151	-	333	0	0	0	0	0	0
ATMG00285	Mt	79740	81297	-	1558	1	0	2	0	0	0
ATMG00290	Mt	82028	83116	-	1089	0	0	0	0	0	0
ATMG00300	Mt	89617	90054	-	438	0	0	0	0	0	0
ATMG00310	Mt	90883	91347	-	465	0	0	0	0	0	0
ATMG00320	Mt	91001	91384	+	384	0	0	0	0	0	0
ATMG00330	Mt	103827	103914	+	88	0	0	0	0	0	0
ATMG00340	Mt	104221	104295	+	75	0	0	0	0	0	0
ATMG00350	Mt	104457	104531	+	75	0	0	0	0	0	0
ATMG00360	Mt	104885	104955	+	71	0	0	0	0	0	0
ATMG00370	Mt	104954	105553	-	600	0	0	0	0	0	0
ATMG00380	Mt	105877	105948	+	72	0	0	0	0	0	0
ATMG00390	Mt	106797	106879	+	83	0	0	0	0	0	0
ATMG00400	Mt	110930	111403	-	474	0	0	0	0	0	0
ATMG00410	Mt	111587	112907	+	1321	0	0	0	0	0	0
ATMG00420	Mt	112953	113039	+	87	0	0	0	0	0	0
ATMG00430	Mt	115431	115751	+	321	0	0	0	0	0	0
ATMG00440	Mt	116296	116754	+	459	0	0	0	0	0	0
ATMG00450	Mt	119381	119701	-	321	0	0	0	0	0	0
ATMG00460	Mt	127014	127094	-	81	0	0	0	0	0	0
ATMG00470	Mt	127475	127843	-	369	0	0	0	0	0	0
ATMG00480	Mt	129909	130385	+	477	0	0	0	0	0	0
ATMG00490	Mt	130817	131140	+	324	0	0	0	0	0	0
ATMG00500	Mt	130968	131393	+	426	0	0	0	0	0	0
ATMG00510	Mt	132071	138153	+	6083	27	16	30	19	37	25
ATMG00513	Mt	140724	142998	-	2275	8	3	4	8	12	4
ATMG00516	Mt	143219	147048	-	3830	5	2	1	5	5	0
ATMG00520	Mt	144294	146312	-	2019	0	1	0	0	1	0
ATMG00530	Mt	147282	147611	-	330	0	0	0	0	0	0
ATMG00540	Mt	150783	151151	+	369	0	0	0	0	0	0
ATMG00550	Mt	151265	151747	-	483	0	0	0	0	0	0
ATMG00560	Mt	154744	157345	+	2602	7	3	7	5	4	4
ATMG00570	Mt	157491	158351	+	861	0	0	1	0	0	0
ATMG00580	Mt	161693	169674	+	7982	9	2	10	6	11	12
ATMG00590	Mt	169796	170737	+	942	0	0	0	0	0	0
ATMG00600	Mt	174205	174525	+	321	0	0	0	0	0	0
ATMG00610	Mt	176542	177027	-	486	0	0	0	0	0	0
ATMG09730	Mt	181268	181347	+	80	0	0	0	0	0	1
ATMG00620	Mt	182278	182697	+	420	0	0	0	0	0	0
ATMG00630	Mt	183111	183443	+	333	1	1	2	3	1	0
ATMG00640	Mt	188084	188662	-	579	12	11	18	21	30	17
ATMG00650	Mt	188929	189231	-	303	9	3	6	14	9	5
ATMG00660	Mt	190104	190553	-	450	16	19	31	27	19	27
ATMG00665	Mt	190740	190761	-	22	0	0	2	1	1	1
ATMG00670	Mt	191055	191882	-	828	9	8	9	17	12	9
ATMG09740	Mt	191954	192025	-	72	0	0	0	0	0	0
ATMG00680	Mt	201729	202097	+	369	0	0	0	0	0	0
ATMG00690	Mt	203588	204310	-	723	4	12	20	14	17	11
ATMG00700	Mt	204340	204412	-	73	0	0	0	0	0	0
ATMG00710	Mt	207553	207915	-	363	1	0	1	1	1	1
ATMG00720	Mt	209499	209822	+	324	1	0	0	0	0	0
ATMG00730	Mt	217631	219077	+	1447	0	0	0	0	2	0
ATMG00740	Mt	220471	220773	-	303	0	0	0	0	0	0
ATMG00750	Mt	220830	221189	+	360	0	0	0	0	0	0
ATMG00760	Mt	221700	222029	-	330	0	0	0	0	0	0
ATMG00770	Mt	222687	222989	-	303	0	0	0	0	0	0
ATMG00780	Mt	227109	227196	+	88	0	0	0	0	0	0
ATMG00790	Mt	227503	227577	+	75	0	0	0	0	0	0
ATMG00800	Mt	227616	227687	+	72	0	0	0	0	0	0
ATMG00810	Mt	227709	228431	-	723	0	0	1	0	0	1
ATMG00820	Mt	228573	229085	-	513	0	0	0	0	0	0
ATMG00830	Mt	231894	233042	-	1149	0	1	0	0	0	2
ATMG00840	Mt	234538	234903	-	366	0	0	0	0	0	0
ATMG00850	Mt	235338	235661	+	324	0	0	0	0	0	0
ATMG00860	Mt	235916	236392	+	477	0	0	0	0	0	0
ATMG00870	Mt	236927	237481	-	555	0	0	0	0	0	0
ATMG00880	Mt	237053	237616	+	564	0	0	0	0	0	0
ATMG00890	Mt	239636	239956	-	321	0	0	0	0	0	0
ATMG00900	Mt	239988	240758	-	771	0	0	0	0	0	0
ATMG00910	Mt	241306	241953	-	648	0	0	0	0	0	0
ATMG00920	Mt	249272	249919	-	648	0	0	0	0	0	0
ATMG00930	Mt	250080	250153	-	74	0	0	0	0	0	0
ATMG00940	Mt	251403	251897	-	495	0	0	0	0	0	0
ATMG00950	Mt	254505	254576	-	72	0	0	0	0	0	0
ATMG00960	Mt	256865	257476	-	612	0	0	1	0	0	1
ATMG00970	Mt	258045	258398	-	354	0	0	0	0	0	1
ATMG00980	Mt	260224	260601	-	378	1	4	0	0	0	5
ATMG00990	Mt	260647	261006	-	360	0	0	1	1	0	0
ATMG01000	Mt	260963	261307	-	345	0	0	0	0	0	0
ATMG01010	Mt	261105	261461	-	357	0	0	0	0	0	0
ATMG01020	Mt	261617	262078	-	462	0	0	0	0	0	0
ATMG01030	Mt	264113	264433	-	321	0	1	0	0	0	0
ATMG01040	Mt	270238	270561	-	324	0	0	0	0	0	0
ATMG01050	Mt	272944	273423	-	480	0	0	0	0	0	1
ATMG01060	Mt	274899	275222	+	324	0	0	0	0	0	0
ATMG01070	Mt	275103	275176	+	74	0	0	0	0	0	0
ATMG01080	Mt	278649	279152	+	504	0	0	0	0	0	0
ATMG01090	Mt	279463	280251	+	789	1	1	2	1	0	1
ATMG01100	Mt	281614	281931	+	318	0	0	2	0	0	0
ATMG01110	Mt	283034	283789	-	756	0	0	0	0	0	0
ATMG01120	Mt	287917	289083	-	1167	10	4	9	9	16	9
ATMG01130	Mt	289197	289517	-	321	3	7	4	9	4	3
ATMG01140	Mt	292973	293431	-	459	0	0	0	0	0	0
ATMG01150	Mt	293976	294296	-	321	0	0	0	0	0	0
ATMG01160	Mt	296688	296774	-	87	0	0	0	0	0	0
ATMG01170	Mt	296820	298204	-	1385	12	4	10	7	12	9
ATMG01180	Mt	300966	301301	-	336	0	0	0	0	0	0
ATMG01190	Mt	302166	303689	-	1524	0	0	0	0	0	0
ATMG01200	Mt	303836	304720	-	885	2	2	2	2	1	0
ATMG01210	Mt	304779	305084	-	306	0	0	0	0	0	0
ATMG01220	Mt	305221	305562	-	342	2	1	2	3	3	0
ATMG01230	Mt	308932	309369	+	438	0	0	1	0	0	0
ATMG01240	Mt	309338	309640	-	303	0	0	0	0	0	0
ATMG01250	Mt	310514	310882	+	369	0	0	0	0	0	0
ATMG01260	Mt	312545	313162	-	618	0	0	0	1	0	0
ATMG01270	Mt	314627	315073	+	447	0	0	0	0	0	0
ATMG01275	Mt	318004	318390	-	387	0	0	0	0	0	0
ATMG01280	Mt	318588	319463	-	876	0	0	0	0	1	1
ATMG01290	Mt	324259	324594	+	336	0	0	0	0	0	0
ATMG01300	Mt	325300	325710	+	411	0	0	0	0	0	0
ATMG01310	Mt	326099	326509	+	411	0	0	0	0	0	0
ATMG01320	Mt	327890	333105	-	5216	2	5	11	11	13	9
ATMG01330	Mt	329082	329465	-	384	0	3	1	2	3	2
ATMG09950	Mt	333651	333725	-	75	0	0	0	0	0	0
ATMG01340	Mt	337669	337741	+	73	0	0	0	0	0	0
ATMG01350	Mt	346757	347194	+	438	2	2	0	1	2	0
ATMG09960	Mt	347266	347348	+	83	0	0	0	0	0	0
ATMG01360	Mt	349830	351413	-	1584	42	18	34	56	54	25
ATMG09980	Mt	359666	359739	-	74	0	1	0	1	0	0
ATMG01370	Mt	360717	361052	-	336	14	21	23	27	31	19
ATMG01380	Mt	361062	361179	-	118	16	21	29	27	32	18
ATMG01390	Mt	361350	363284	-	1935	19150	9987	66785	20653	19297	22899
ATMG01400	Mt	363725	364042	+	318	0	1	0	0	0	0
ATMG01410	Mt	366086	366700	-	615	6	1	7	4	4	1
AT1G01010	1	3631	5899	+	2269	578	548	965	717	751	421
AT1G01020	1	6788	9130	-	2343	706	705	1001	668	1079	579
AT1G03987	1	11101	11372	+	272	0	1	3	0	4	0
AT1G01030	1	11649	13714	-	2066	197	175	312	198	178	118
AT1G01040	1	23121	31227	+	8107	2258	1582	3033	2191	2598	1640
AT1G03993	1	23312	24099	-	788	189	70	225	188	208	118
AT1G01046	1	28500	28706	+	207	24	21	34	19	45	21
AT1G01050	1	31170	33171	-	2002	2482	2328	3494	2459	3536	2036
AT1G03997	1	32727	33009	+	283	0	0	1	1	2	0
AT1G01060	1	33365	37871	-	4507	496	301	615	86	111	67
AT1G01070	1	38444	41017	-	2574	311	246	362	197	670	271
AT1G04003	1	43087	43295	-	209	0	0	0	0	0	1
AT1G01080	1	44970	47059	-	2090	3263	2861	4507	3586	4567	3068
AT1G01090	1	47234	49304	-	2071	8977	8435	13271	8545	10451	7137
AT1G01100	1	49909	51210	-	1302	13379	14229	17266	10544	17799	11087
AT1G01110	1	51953	54737	+	2785	178	135	225	126	271	134
AT1G01120	1	57164	59215	-	2052	2840	2519	4890	5006	4936	2609
AT1G01130	1	61905	63811	-	1907	133	134	154	106	179	99
AT1G01140	1	64166	67774	-	3609	893	859	1473	2158	2159	1251
AT1G01150	1	69911	72138	-	2228	6	9	5	4	4	6
AT1G01160	1	72339	74096	+	1758	1535	1450	2021	1480	2313	1355
AT1G04007	1	72646	73108	-	463	274	231	308	244	363	217
AT1G01170	1	73931	74737	-	807	1083	1130	1464	1399	1819	1072
AT1G04013	1	74435	74683	+	249	254	286	346	376	495	270
AT1G01180	1	75390	76845	+	1456	107	141	242	440	388	205
AT1G01183	1	78927	79037	-	111	0	1	0	0	1	0
AT1G01190	1	82984	84946	-	1963	65	62	84	86	111	74
AT1G01200	1	86486	88409	-	1924	72	82	79	99	130	94
AT1G01210	1	88622	90502	+	1881	652	670	998	553	1004	587
AT1G04017	1	90169	90401	-	233	51	54	65	23	72	32
AT1G01220	1	91342	95681	+	4340	1100	903	1399	1344	1585	1064
AT1G04023	1	91356	91685	-	330	44	13	40	40	51	34
AT1G01225	1	95935	97407	+	1473	189	214	270	125	239	150
AT1G01230	1	97412	99240	+	1829	1004	1033	1577	1156	1299	856
AT1G01240	1	99865	101987	+	2123	818	763	1231	698	676	405
AT1G01250	1	104440	105330	-	891	11	8	16	17	43	14
AT1G01260	1	108946	111699	+	2754	660	584	1023	725	1003	594
AT1G01270	1	111890	111961	-	72	0	0	0	0	0	0
AT1G01280	1	112263	113947	+	1685	0	0	0	0	1	2
AT1G01290	1	114202	116407	+	2206	655	586	838	583	828	518
AT1G01300	1	116784	118845	+	2062	3088	2722	4134	3901	5697	3646
AT1G01305	1	119381	119997	+	617	0	0	0	0	0	1
AT1G01310	1	120154	121130	+	977	2	3	5	3	6	8
AT1G01320	1	121067	130577	-	9511	12050	8261	13928	14801	20311	15839
AT1G01335	1	130736	130858	+	123	0	0	0	0	0	0
AT1G01340	1	132270	135924	-	3655	237	266	537	915	563	398
AT1G01350	1	136090	138162	+	2073	792	773	1161	912	1204	756
AT1G01355	1	138489	139680	+	1192	0	0	1	1	4	3
AT1G01360	1	141870	143261	+	1392	305	242	415	358	418	221
AT1G01370	1	143489	146479	+	2991	317	295	353	196	386	205
AT1G01380	1	147043	148014	+	972	277	266	390	36	102	50
AT1G01390	1	148013	149848	-	1836	165	157	277	105	96	60
AT1G01400	1	150689	152210	-	1522	0	0	2	0	2	1
AT1G01410	1	153113	154198	+	1086	0	0	0	0	0	0
AT1G01420	1	154367	156178	-	1812	238	242	385	279	370	215
AT1G01430	1	156477	158823	-	2347	1804	1561	2855	3425	3467	2152
AT1G01440	1	159628	162953	-	3326	734	542	881	920	1186	724
AT1G01448	1	163278	166353	+	3076	553	358	641	512	638	417
AT1G01450	1	164105	165517	-	1413	284	193	329	272	334	222
AT1G01453	1	166589	168088	-	1500	6	3	7	13	78	22
AT1G01460	1	168559	171386	+	2828	0	11	32	39	4	0
AT1G01470	1	171525	172948	-	1424	4234	5269	6607	4244	4252	2787
AT1G01480	1	175706	178406	+	2701	26	49	65	169	97	70
AT1G01490	1	180017	182749	-	2733	1117	1303	2213	3059	3228	2000
AT1G01500	1	185033	187135	+	2103	746	922	1410	1269	1105	842
AT1G01510	1	187145	190472	+	3328	1733	1652	2513	1710	2533	1491
AT1G01520	1	190408	192436	+	2029	56	45	85	76	90	22
AT1G01530	1	192634	193670	-	1037	5	0	5	4	0	1
AT1G01540	1	195645	198787	+	3143	2094	1891	3041	3011	3667	2136
AT1G01550	1	199527	201775	+	2249	4173	4098	7250	7608	8666	5078
AT1G01560	1	202103	204440	+	2338	4	52	100	147	34	40
AT1G01570	1	204935	207642	+	2708	89	67	123	173	246	99
AT1G01580	1	208995	213082	+	4088	1583	1257	1868	12100	8047	7331
AT1G01590	1	214150	217734	+	3585	1	1	3	5	5	1
AT1G01600	1	218834	221286	+	2453	399	404	645	630	684	494
AT1G01610	1	221642	224351	-	2710	1794	1669	2942	4019	3507	2519
AT1G01620	1	225665	227543	-	1879	9192	8494	12972	6857	11612	6486
AT1G01630	1	228799	230979	+	2181	2797	2403	4340	3500	3700	2359
AT1G01640	1	230908	232630	-	1723	140	150	212	183	273	141
AT1G01650	1	232840	237905	-	5066	1656	1508	2540	1555	1676	1163
AT1G04027	1	234006	234159	-	154	9	13	6	10	11	8
AT1G01660	1	239841	242703	-	2863	21	23	45	31	78	43
AT1G01670	1	242713	246054	-	3342	41	24	65	17	42	21
AT1G01680	1	246262	248440	-	2179	26	17	36	39	18	23
AT1G01690	1	249041	252522	+	3482	422	364	406	264	483	292
AT1G01695	1	252626	254530	+	1905	5	13	17	10	14	8
AT1G04033	1	255022	255384	+	363	1	3	4	1	2	1
AT1G04037	1	258717	258963	-	247	9	10	11	9	17	7
AT1G01700	1	259307	261667	-	2361	57	50	58	53	87	63
AT1G01710	1	262828	266324	+	3497	963	815	1340	1156	1375	861
AT1G01715	1	266333	267883	+	1551	312	269	362	251	332	232
AT1G04043	1	267993	268336	-	344	1	0	0	0	1	1
AT1G01720	1	267993	269819	+	1827	2510	2495	3693	1362	1741	1069
AT1G01725	1	269792	270859	-	1068	192	202	259	212	320	163
AT1G04047	1	270067	270517	+	451	58	56	77	55	81	57
AT1G01730	1	270797	272189	+	1393	1014	1044	1427	1127	1508	933
AT1G01740	1	272111	274930	-	2820	439	370	577	518	563	375
AT1G01750	1	275188	276310	+	1123	192	178	283	420	957	370
AT1G04053	1	275473	276319	-	847	187	172	277	411	949	365
AT1G01760	1	276266	278599	-	2334	200	141	250	175	262	146
AT1G04057	1	276543	276729	+	187	14	10	27	13	21	11
AT1G01770	1	278600	282891	+	4292	780	617	998	1013	1169	823
AT1G01780	1	282761	284245	+	1485	310	324	451	397	624	361
AT1G01790	1	284350	291203	+	6854	3265	2491	4920	4617	5113	3042
AT1G04063	1	291594	292061	-	468	0	0	0	0	0	0
AT1G01800	1	293246	295086	+	1841	1829	1946	2690	2032	2484	1419
AT1G01810	1	295207	295859	+	653	49	67	90	36	72	38
AT1G01820	1	296001	298334	-	2334	2191	2172	3308	3008	3542	2246
