# Program:featureCounts v2.0.1; Command:"featureCounts" "-a" "/mnt/d/PERSONAL_SACO/Cubas lab/R/output/macs2_consensus.gff" "-o" "2022_03_09_feature_counts_macs2_consensus.txt" "-t" "gene" "-g" "gene_id" "-O" "-T" "4" "ChIP2_S5_R1_001_sorted.bam" "ChIP3_S6_R1_001_sorted.bam" "ChIP7_S4_R1_001_sorted.bam" "Input2_S2_R1_001_sorted.bam" "Input3_S3_R1_001_sorted.bam" "Input7_S1_R1_001_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	ChIP2_S5_R1_001_sorted.bam	ChIP3_S6_R1_001_sorted.bam	ChIP7_S4_R1_001_sorted.bam	Input2_S2_R1_001_sorted.bam	Input3_S3_R1_001_sorted.bam	Input7_S1_R1_001_sorted.bam
peak_23	1	486606	486858	.	253	30	144	123	1	13	11
peak_24	1	567209	567554	.	346	17	228	291	12	58	44
peak_25	1	571336	571590	.	255	14	97	107	2	10	19
peak_26	1	571976	572158	.	183	25	67	76	4	8	13
peak_27	1	575567	575821	.	255	46	101	165	15	38	32
peak_28	1	607600	607813	.	214	19	120	105	3	22	27
peak_29	1	729727	729940	.	214	21	88	108	1	11	22
peak_30	1	897746	898458	.	713	63	240	247	3	22	41
peak_31	1	956945	957122	.	178	33	125	89	4	18	24
peak_32	1	958061	958281	.	221	23	92	79	3	13	17
peak_33	1	984030	984256	.	227	8	154	113	8	39	22
peak_34	1	1129438	1129744	.	307	42	135	160	2	23	34
peak_35	1	1131343	1131950	.	608	78	171	301	9	37	55
peak_36	1	1243065	1243408	.	344	127	130	165	8	15	21
peak_37	1	1313007	1313214	.	208	45	82	111	3	10	17
peak_38	1	1426571	1426737	.	167	19	88	57	2	10	22
peak_39	1	1468994	1469340	.	347	32	195	197	7	34	34
peak_40	1	1495231	1495569	.	339	28	151	190	5	23	28
peak_41	1	1705125	1705344	.	220	30	67	148	0	13	13
peak_42	1	1714320	1714551	.	232	26	74	128	2	11	30
peak_43	1	1773727	1774047	.	321	61	215	209	8	45	36
peak_44	1	1861728	1861977	.	250	54	87	96	6	29	24
peak_45	1	1882729	1882937	.	209	5	53	128	4	15	30
peak_46	1	1888188	1888465	.	278	29	158	152	9	26	28
peak_47	1	1953572	1954009	.	438	129	265	363	14	54	64
peak_48	1	2107965	2108187	.	223	21	89	121	6	18	42
peak_49	1	2169821	2170156	.	336	26	154	128	8	19	32
peak_50	1	2174951	2175175	.	225	37	68	103	1	11	11
peak_51	1	2176367	2176497	.	131	14	51	57	1	7	12
peak_52	1	2213992	2214416	.	425	80	371	444	11	54	62
peak_53	1	2277581	2277799	.	219	15	95	107	4	19	14
peak_54	1	2280526	2280872	.	347	26	144	220	4	23	32
peak_55	1	2305125	2305336	.	212	34	129	102	5	24	27
peak_56	1	2321692	2321974	.	283	47	104	146	7	24	27
peak_57	1	2347907	2348280	.	374	50	168	294	13	24	26
peak_58	1	2374812	2375019	.	208	22	88	83	8	21	28
peak_59	1	2392587	2392794	.	208	101	88	40	2	18	26
peak_60	1	2432097	2432350	.	254	35	146	76	6	22	32
peak_61	1	2441547	2441848	.	302	17	94	110	3	12	21
peak_62	1	2547785	2548048	.	264	16	97	145	4	23	16
peak_63	1	2563608	2563869	.	262	35	133	146	6	23	24
peak_64	1	2567229	2567476	.	248	9	67	95	1	7	9
peak_65	1	2976845	2977125	.	281	28	109	193	3	34	33
peak_66	1	2990770	2991126	.	357	17	98	145	3	17	27
peak_67	1	3019464	3019712	.	249	19	106	99	4	25	25
peak_68	1	3072453	3073212	.	760	75	295	373	6	63	66
peak_69	1	3180465	3180743	.	279	21	105	117	7	37	36
peak_70	1	3239652	3239861	.	210	8	82	78	0	18	8
peak_71	1	3247788	3248146	.	359	59	234	305	5	30	38
peak_72	1	3252109	3252331	.	223	81	107	95	1	12	14
peak_73	1	3297407	3297628	.	222	76	63	264	4	31	19
peak_74	1	3399753	3399979	.	227	12	97	74	3	16	22
peak_75	1	3421140	3421532	.	393	129	300	360	4	23	41
peak_76	1	3442353	3442585	.	233	19	92	117	5	22	17
peak_77	1	3526200	3526438	.	239	16	77	106	9	18	14
peak_78	1	3570815	3570956	.	142	8	43	81	0	12	14
peak_79	1	3590551	3590792	.	242	25	70	149	4	25	12
peak_80	1	3664062	3664393	.	332	67	255	269	1	25	33
peak_81	1	3745432	3745707	.	276	30	126	156	3	22	19
peak_82	1	3757082	3757299	.	218	43	132	112	4	24	26
peak_83	1	3758048	3758175	.	128	44	59	67	3	11	6
peak_84	1	3867486	3867888	.	403	137	131	188	12	36	40
peak_85	1	4088774	4088981	.	208	7	62	92	2	14	19
peak_86	1	4107126	4107335	.	210	21	86	100	1	16	22
peak_87	1	4107739	4108139	.	401	11	180	255	5	14	37
peak_88	1	4117772	4118103	.	332	20	182	238	2	19	23
peak_89	1	4229575	4229920	.	346	33	191	215	4	26	37
peak_90	1	4282273	4282541	.	269	41	178	182	2	13	40
peak_91	1	4433246	4433756	.	511	53	270	320	4	23	36
peak_92	1	4522730	4523072	.	343	105	110	92	4	19	28
peak_93	1	4526057	4526429	.	373	71	331	296	2	19	30
peak_94	1	4532104	4532338	.	235	47	143	132	2	22	29
peak_95	1	4532857	4533209	.	353	57	120	142	4	26	32
peak_96	1	4540676	4541070	.	395	22	136	134	1	20	37
peak_97	1	4555794	4556099	.	306	12	97	112	2	19	35
peak_98	1	4579960	4580205	.	246	13	101	90	1	17	20
peak_99	1	4580921	4581226	.	306	33	96	127	5	20	25
peak_100	1	4582329	4582532	.	204	61	67	117	1	13	19
peak_101	1	4655688	4655906	.	219	1	117	167	1	27	34
peak_102	1	4712592	4712897	.	306	39	148	173	1	20	28
peak_103	1	4713379	4713812	.	434	94	319	297	12	29	36
peak_104	1	4877461	4877650	.	190	27	53	83	0	6	12
peak_105	1	4902989	4903340	.	352	65	174	198	6	24	23
peak_106	1	4987556	4987856	.	301	48	180	247	3	26	25
peak_107	1	5018012	5018276	.	265	25	107	132	2	15	37
peak_108	1	5115629	5115846	.	218	15	94	118	1	22	21
peak_109	1	5126320	5126661	.	342	51	132	143	4	22	33
peak_110	1	5146711	5147296	.	586	77	195	182	14	51	53
peak_111	1	5147867	5148218	.	352	65	221	185	6	30	31
peak_112	1	5205757	5205953	.	197	92	72	190	14	32	22
peak_113	1	5212071	5212466	.	396	24	196	235	8	38	45
peak_114	1	5224025	5224296	.	272	20	158	156	7	39	27
peak_115	1	5277573	5277920	.	348	42	186	244	12	30	25
peak_116	1	5277973	5277993	.	21	2	10	23	0	4	5
peak_117	1	5386185	5386357	.	173	9	67	126	7	14	22
peak_118	1	5396635	5396848	.	214	35	90	129	10	14	23
peak_119	1	5442174	5442505	.	332	29	121	151	4	34	41
peak_120	1	5525165	5525435	.	271	26	119	161	1	21	35
peak_121	1	5531882	5532196	.	315	39	206	208	4	32	25
peak_122	1	5573905	5574158	.	254	19	117	113	7	30	27
peak_123	1	5593121	5593308	.	188	5	69	120	3	24	25
peak_124	1	5727446	5727657	.	212	11	110	140	8	29	21
peak_125	1	5758398	5758625	.	228	13	76	108	1	25	32
peak_126	1	5890743	5891031	.	289	28	111	163	7	14	19
peak_127	1	5938818	5939045	.	228	40	85	127	4	12	23
peak_128	1	5944741	5944989	.	249	36	107	125	4	22	29
peak_129	1	5964898	5965105	.	208	14	108	78	4	15	21
peak_130	1	6016210	6016512	.	303	33	109	123	6	25	38
peak_131	1	6174351	6174935	.	585	165	430	635	20	62	72
peak_132	1	6326821	6327066	.	246	16	136	108	4	7	23
peak_133	1	6463527	6463837	.	311	56	155	151	4	19	34
peak_134	1	6512465	6512843	.	379	42	226	223	2	21	35
peak_135	1	6543523	6543820	.	298	56	184	236	4	34	33
peak_136	1	6620918	6621211	.	294	51	117	126	7	19	25
peak_137	1	6627664	6627974	.	311	31	134	173	4	25	22
peak_138	1	6633442	6633802	.	361	22	105	152	4	20	32
peak_139	1	6635888	6636095	.	208	64	116	59	5	10	18
peak_140	1	6641456	6641663	.	208	39	97	85	2	6	14
peak_141	1	6643303	6643599	.	297	36	102	168	5	32	28
peak_142	1	6728724	6729053	.	330	58	116	144	7	20	24
peak_143	1	6737854	6738055	.	202	26	82	139	4	16	33
peak_144	1	6753969	6754499	.	531	177	457	548	15	52	78
peak_145	1	6802773	6802994	.	222	12	55	139	4	31	27
peak_146	1	6899641	6899958	.	318	43	78	193	5	30	46
peak_147	1	6932635	6932902	.	268	37	115	209	7	22	32
peak_148	1	7056109	7056351	.	243	118	157	241	9	55	62
peak_149	1	7089905	7090262	.	358	83	162	240	7	27	29
peak_150	1	7237226	7237427	.	202	41	90	128	3	18	20
peak_151	1	7261477	7261730	.	254	17	116	138	8	16	18
peak_152	1	7267453	7267693	.	241	16	119	107	4	13	27
peak_153	1	7340433	7340933	.	501	101	388	431	17	62	64
peak_154	1	7370730	7370737	.	8	6	34	19	2	4	4
peak_155	1	7401239	7401465	.	227	71	122	100	4	23	28
peak_156	1	7570750	7571051	.	302	45	165	212	6	23	33
peak_157	1	7599573	7599953	.	381	377	323	180	8	38	50
peak_158	1	7612292	7612519	.	228	21	76	121	8	23	17
peak_159	1	7612757	7613000	.	244	32	91	127	5	12	21
peak_160	1	7654013	7654376	.	364	59	283	274	9	36	47
peak_161	1	7732270	7732574	.	305	38	181	186	10	42	42
peak_162	1	7739724	7739964	.	241	24	105	135	2	18	26
peak_163	1	7782370	7782595	.	226	49	151	161	7	25	14
peak_164	1	7884636	7884945	.	310	42	187	183	0	18	29
peak_165	1	7974738	7975854	.	1117	118	579	622	10	52	75
peak_166	1	8005249	8005474	.	226	26	73	102	3	21	16
peak_167	1	8060614	8060876	.	263	29	110	132	6	35	34
peak_168	1	8114096	8114329	.	234	33	131	90	1	11	17
peak_169	1	8166437	8166668	.	232	20	106	124	3	11	8
peak_170	1	8193383	8193503	.	121	20	47	45	2	8	22
peak_171	1	8298194	8298553	.	360	49	121	224	7	37	37
peak_172	1	8384871	8385183	.	313	56	165	150	6	34	25
peak_173	1	8429913	8430363	.	451	114	423	442	4	31	38
peak_174	1	8430710	8431012	.	303	47	111	166	5	47	36
peak_175	1	8593638	8595045	.	1408	1529	1544	121	17	108	120
peak_176	1	8595556	8596030	.	475	459	485	110	5	37	37
peak_177	1	8709717	8710132	.	416	58	193	241	6	34	41
peak_178	1	8776974	8777213	.	240	12	45	49	6	36	33
peak_179	1	8792608	8792925	.	318	116	140	220	6	27	42
peak_180	1	8860456	8860713	.	258	39	137	151	4	15	11
peak_181	1	8975726	8975996	.	271	40	131	163	5	19	14
peak_182	1	8978171	8978556	.	386	61	187	276	2	28	25
peak_183	1	8979071	8979685	.	615	47	278	246	5	29	50
peak_184	1	8983618	8984003	.	386	24	129	226	4	25	19
peak_185	1	9066376	9066625	.	250	25	75	117	0	14	22
peak_186	1	9097889	9098122	.	234	22	92	140	7	20	20
peak_187	1	9175604	9175910	.	307	38	56	49	8	31	37
peak_188	1	9215703	9216037	.	335	63	279	339	9	21	41
peak_189	1	9339948	9340203	.	256	48	71	157	1	11	20
peak_190	1	9350067	9350433	.	367	61	135	174	2	21	31
peak_191	1	9409665	9409892	.	228	23	101	119	2	16	22
peak_192	1	9420398	9420589	.	192	46	67	75	1	20	21
peak_193	1	9451952	9452162	.	211	36	82	96	2	13	11
peak_194	1	9486276	9486482	.	207	21	76	88	2	12	18
peak_195	1	9627236	9627475	.	240	34	87	158	1	25	28
peak_196	1	9628703	9628941	.	239	30	102	179	12	23	42
peak_197	1	9708114	9708416	.	303	188	75	66	17	36	38
peak_198	1	9732358	9732742	.	385	66	329	320	11	37	32
peak_199	1	9885383	9885864	.	482	27	96	155	2	19	31
peak_200	1	9949860	9950207	.	348	38	163	235	12	39	35
peak_201	1	10019196	10019411	.	216	49	47	32	7	17	22
peak_202	1	10261113	10261514	.	402	42	220	320	3	33	32
peak_203	1	10365120	10365381	.	262	43	104	148	6	15	26
peak_204	1	10535253	10535471	.	219	26	40	90	4	14	17
peak_205	1	10587249	10587500	.	252	28	93	140	4	22	28
peak_206	1	10715455	10715690	.	236	38	125	94	1	13	13
peak_207	1	10827069	10827397	.	329	77	162	140	4	18	14
peak_208	1	10860342	10860691	.	350	103	157	233	2	26	40
peak_209	1	10887223	10887751	.	529	75	189	306	8	52	45
peak_210	1	10953444	10953747	.	304	15	227	147	9	37	37
peak_211	1	10954377	10954623	.	247	38	91	152	8	18	20
peak_212	1	11226352	11226616	.	265	23	124	101	2	14	16
peak_213	1	11227509	11227760	.	252	62	95	194	3	25	33
peak_214	1	11384378	11384605	.	228	47	165	131	6	18	27
peak_215	1	11472501	11472773	.	273	51	125	154	6	24	42
peak_216	1	11510265	11510476	.	212	116	97	124	12	33	38
peak_217	1	11598450	11598702	.	253	32	120	125	1	13	27
peak_218	1	11601261	11601561	.	301	60	112	131	2	23	27
peak_219	1	11605715	11605952	.	238	13	67	104	2	19	15
peak_220	1	11620271	11620495	.	225	38	108	127	3	20	17
peak_221	1	11654950	11655231	.	282	39	159	118	7	21	18
peak_222	1	11661628	11661879	.	252	118	218	160	15	47	45
peak_223	1	11830932	11831460	.	529	83	319	291	5	40	48
peak_224	1	11923918	11924045	.	128	8	50	93	1	10	10
peak_225	1	11927755	11928034	.	280	24	102	118	3	6	19
peak_226	1	12054776	12054969	.	194	10	48	67	4	15	15
peak_227	1	12056909	12057164	.	256	19	106	102	5	24	30
peak_228	1	12091599	12091956	.	358	54	85	113	16	40	35
peak_229	1	12104832	12105145	.	314	27	167	234	8	39	28
peak_230	1	12180676	12181010	.	335	17	116	213	8	36	38
peak_231	1	12907463	12907849	.	387	122	90	110	4	25	33
peak_232	1	13029515	13029787	.	273	7	92	127	2	11	16
peak_233	1	13102831	13103068	.	238	62	56	50	9	24	28
peak_234	1	13108737	13109128	.	392	157	136	62	9	35	41
peak_235	1	13430110	13430481	.	372	98	84	53	1	25	23
peak_236	1	14139614	14139976	.	363	128	127	76	10	41	35
peak_237	1	14150223	14150263	.	41	15	13	46	0	5	4
peak_238	1	14238722	14238943	.	222	36	29	79	6	24	28
peak_239	1	14363239	14363460	.	222	150	259	388	96	402	501
peak_240	1	14408895	14409110	.	216	159	298	386	97	430	565
peak_241	1	14473593	14473961	.	369	167	272	369	72	400	528
peak_242	1	14509436	14509801	.	366	189	367	526	102	558	762
peak_243	1	15081874	15086153	.	4280	16473	32764	44066	10002	49011	62853
peak_244	1	15097323	15097744	.	422	16	96	75	8	71	92
peak_245	1	15109529	15110143	.	615	31	72	131	13	87	101
peak_246	1	15112544	15112861	.	318	23	34	60	3	41	59
peak_247	1	15116215	15116722	.	508	17	62	92	9	75	72
peak_248	1	15118841	15119083	.	243	27	24	40	4	30	46
peak_249	1	15120103	15120463	.	361	19	35	64	9	42	62
peak_250	1	15121237	15121248	.	12	1	2	6	2	3	3
peak_251	1	15122130	15122670	.	541	20	57	61	6	55	80
peak_252	1	15127991	15128127	.	137	8	21	33	3	18	26
peak_253	1	15129510	15129642	.	133	8	25	39	1	13	19
peak_254	1	15131825	15132379	.	555	21	57	81	8	49	75
peak_255	1	15134448	15134752	.	305	24	34	55	5	43	41
peak_256	1	15267266	15267322	.	57	9	29	48	1	24	30
peak_257	1	15277792	15278300	.	509	12	26	71	8	44	53
peak_258	1	15322448	15322655	.	208	10	26	45	4	30	42
peak_259	1	15365328	15365551	.	224	24	69	83	11	54	89
peak_260	1	15701019	15701257	.	239	19	48	67	13	50	77
peak_261	1	15737534	15737773	.	240	127	79	59	4	15	16
peak_262	1	15880347	15880494	.	148	6	40	61	1	6	17
peak_263	1	16175705	16176109	.	405	162	105	186	6	48	52
peak_264	1	16673471	16673810	.	340	64	65	46	3	29	37
peak_265	1	16851218	16851437	.	220	34	118	125	2	10	8
peak_266	1	17279499	17279862	.	364	59	58	50	9	32	30
peak_267	1	17296480	17296678	.	199	21	54	91	2	16	24
peak_268	1	17498236	17498647	.	412	61	99	123	7	26	50
peak_269	1	17702541	17702879	.	339	41	229	285	9	24	27
peak_270	1	17855633	17855918	.	286	47	139	143	4	22	32
peak_271	1	17882773	17883065	.	293	59	58	26	7	41	55
peak_272	1	17892526	17892814	.	289	41	136	174	2	26	26
peak_273	1	18239086	18239496	.	411	37	131	170	4	22	30
peak_274	1	18304856	18305079	.	224	6	61	99	1	17	16
peak_275	1	18305332	18305621	.	290	15	124	165	0	22	21
peak_276	1	18321472	18321679	.	208	22	49	83	1	13	28
peak_277	1	18322345	18322577	.	233	14	71	68	2	19	23
peak_278	1	18432597	18433022	.	426	44	126	97	8	32	43
peak_279	1	18627504	18627716	.	213	12	87	80	2	12	17
peak_280	1	18690742	18691088	.	347	13	131	165	9	39	32
peak_281	1	18942477	18942787	.	311	17	104	161	2	11	25
peak_282	1	18946385	18946613	.	229	20	100	157	3	24	20
peak_283	1	18951869	18952173	.	305	31	127	155	5	16	25
peak_284	1	19211755	19211998	.	244	58	107	132	2	16	22
peak_285	1	19300553	19300824	.	272	29	106	171	5	19	31
peak_286	1	19493085	19493312	.	228	32	77	84	2	9	16
peak_287	1	19683900	19684140	.	241	23	99	153	8	23	33
peak_288	1	19698428	19698665	.	238	23	70	123	5	11	22
peak_289	1	19698997	19699605	.	609	86	380	382	7	32	34
peak_290	1	19819930	19820723	.	794	68	393	446	19	67	83
peak_291	1	19825407	19825757	.	351	41	177	165	5	23	18
peak_292	1	20042347	20042575	.	229	35	42	56	5	30	28
peak_293	1	20046525	20046692	.	168	10	55	85	2	12	14
peak_294	1	20100930	20101213	.	284	43	148	134	2	30	28
peak_295	1	20176873	20177253	.	381	74	233	236	5	29	42
peak_296	1	20451021	20451229	.	209	16	99	112	1	4	5
peak_297	1	20587930	20588133	.	204	17	53	105	2	12	19
peak_298	1	20617079	20617297	.	219	48	69	118	5	17	27
peak_299	1	20651450	20651659	.	210	19	102	91	2	8	23
peak_300	1	20813796	20814117	.	322	64	214	204	0	16	25
peak_301	1	20938453	20938578	.	126	8	53	64	2	13	10
peak_302	1	20958699	20958945	.	247	60	122	113	9	20	21
peak_303	1	21024579	21024834	.	256	35	140	203	5	25	23
peak_304	1	21078847	21079205	.	359	72	255	244	3	30	25
peak_305	1	21133659	21133846	.	188	29	96	97	4	18	22
peak_306	1	21206960	21207326	.	367	70	159	262	10	34	23
peak_307	1	21457604	21457861	.	258	131	137	182	4	29	43
peak_308	1	21614212	21614440	.	229	11	73	87	6	26	32
peak_309	1	21652848	21653137	.	290	43	121	209	1	10	13
peak_310	1	21660741	21661283	.	543	68	233	198	3	47	60
peak_311	1	21732362	21732569	.	208	13	94	126	3	25	17
peak_312	1	21967736	21968232	.	497	47	168	209	5	34	41
peak_313	1	22085619	22085904	.	286	33	133	172	7	26	36
peak_314	1	22197975	22198458	.	484	117	400	348	11	36	55
peak_315	1	22382586	22382888	.	303	29	186	170	11	25	38
peak_316	1	22516399	22516601	.	203	14	53	129	4	10	17
peak_317	1	22875786	22876053	.	268	26	181	176	5	19	42
peak_318	1	23072776	23073006	.	231	61	169	143	8	42	37
peak_319	1	23166258	23166450	.	193	33	73	109	4	19	21
peak_320	1	23168948	23169173	.	226	31	93	121	5	17	22
peak_321	1	23172476	23172763	.	288	21	123	125	3	13	16
peak_322	1	23335344	23335772	.	429	35	253	226	5	20	47
peak_323	1	23542011	23542371	.	361	66	59	55	1	21	26
peak_324	1	23617937	23618151	.	215	35	71	110	3	20	23
peak_325	1	23639236	23639355	.	120	8	58	70	1	9	11
peak_326	1	23890339	23890617	.	279	42	93	167	4	15	22
peak_327	1	23894466	23894633	.	168	4	60	78	3	17	27
peak_328	1	23895622	23896015	.	394	68	221	225	11	36	49
peak_329	1	23898904	23899237	.	334	22	180	250	5	25	41
peak_330	1	23918696	23919109	.	414	198	157	250	5	29	47
peak_331	1	24005890	24006140	.	251	31	105	160	8	43	37
peak_332	1	24043332	24043745	.	414	55	224	303	7	33	33
peak_333	1	24282052	24282259	.	208	72	61	87	1	16	18
peak_334	1	24487764	24487989	.	226	24	97	114	3	9	17
peak_335	1	24631300	24631510	.	211	29	77	82	4	10	16
peak_336	1	24644065	24644336	.	272	14	110	158	2	25	20
peak_337	1	24648043	24648381	.	339	51	189	241	11	42	50
peak_338	1	24650071	24650410	.	340	65	183	220	7	19	34
peak_339	1	24653880	24654257	.	378	28	150	157	0	28	33
peak_340	1	24675231	24675580	.	350	35	184	176	2	18	30
peak_341	1	24743798	24744305	.	508	89	253	267	5	25	58
peak_342	1	24847904	24848198	.	295	16	104	164	3	17	21
peak_343	1	25238079	25238450	.	372	39	217	216	6	21	29
peak_344	1	25295936	25296168	.	233	100	99	80	3	16	29
peak_345	1	25428863	25429093	.	231	50	79	138	1	21	25
peak_346	1	25470026	25470224	.	199	27	91	104	2	14	14
peak_347	1	25473029	25473381	.	353	42	204	257	4	14	39
peak_348	1	25496577	25496840	.	264	25	83	122	8	22	30
peak_349	1	25624606	25624842	.	237	37	89	120	5	23	20
peak_350	1	25629132	25629360	.	229	40	95	150	4	16	19
peak_351	1	25656994	25657260	.	267	65	106	133	5	14	20
peak_352	1	25657791	25658114	.	324	19	135	141	2	15	20
peak_353	1	25658922	25659105	.	184	21	74	86	10	24	27
peak_354	1	25659788	25659974	.	187	12	79	116	2	16	15
peak_355	1	25670574	25670872	.	299	19	137	170	4	14	30
peak_356	1	25699564	25699907	.	344	34	136	227	3	19	15
peak_357	1	25725191	25725408	.	218	6	72	103	2	14	23
peak_358	1	25732303	25732673	.	371	61	166	291	10	33	35
peak_359	1	25941380	25941699	.	320	32	159	197	3	25	30
peak_360	1	25988828	25989005	.	178	22	106	141	6	18	30
peak_361	1	26037432	26038002	.	571	91	287	345	13	53	71
peak_362	1	26038301	26038825	.	525	37	415	342	6	23	40
peak_363	1	26043039	26043336	.	298	38	118	117	8	20	33
peak_364	1	26052658	26053263	.	606	55	165	226	6	27	28
peak_365	1	26058133	26058214	.	82	3	13	36	1	4	13
peak_366	1	26059400	26059651	.	252	13	136	181	5	42	37
peak_367	1	26097558	26097834	.	277	26	72	109	5	24	18
peak_368	1	26117887	26118244	.	358	68	265	332	5	41	27
peak_369	1	26120792	26121092	.	301	33	181	183	3	23	19
peak_370	1	26163351	26163566	.	216	21	92	92	3	20	12
peak_371	1	26164385	26164906	.	522	112	281	348	11	49	61
peak_372	1	26242849	26243168	.	320	33	156	225	1	7	24
peak_373	1	26243533	26243740	.	208	13	151	99	2	16	17
peak_374	1	26276165	26276423	.	259	23	99	134	2	26	26
peak_375	1	26365739	26366099	.	361	32	109	195	1	19	26
peak_376	1	26429740	26429948	.	209	23	77	121	2	13	20
peak_377	1	26434828	26435153	.	326	42	190	163	2	28	36
peak_378	1	26482808	26483611	.	804	57	367	393	14	57	71
peak_379	1	26541334	26541526	.	193	8	82	118	4	21	16
peak_380	1	26561704	26561962	.	259	34	157	198	3	18	27
peak_381	1	26598645	26598998	.	354	108	198	235	2	33	32
peak_382	1	26659567	26659889	.	323	33	167	221	11	32	30
peak_383	1	26683081	26683324	.	244	2	94	156	2	16	23
peak_384	1	26697296	26697657	.	362	13	174	195	6	16	33
peak_385	1	26801733	26802012	.	280	55	141	169	4	16	29
peak_386	1	27075906	27076124	.	219	19	86	100	1	16	26
peak_387	1	27090521	27090800	.	280	32	100	97	12	27	36
peak_388	1	27170470	27170799	.	330	76	328	290	25	56	61
peak_389	1	27276817	27277258	.	442	56	297	323	15	36	38
peak_390	1	27362895	27363628	.	734	62	232	193	9	58	59
peak_391	1	27389805	27390009	.	205	19	88	90	1	8	6
peak_392	1	27402110	27402574	.	465	24	257	245	6	25	48
peak_393	1	27497923	27498297	.	375	45	258	234	6	30	44
peak_394	1	27562785	27563196	.	412	148	149	171	4	34	40
peak_395	1	27595954	27596395	.	442	87	266	380	10	27	34
peak_396	1	27627755	27628019	.	265	18	184	166	10	34	33
peak_397	1	27647031	27647487	.	457	75	146	125	6	22	31
peak_398	1	27713698	27713989	.	292	34	101	140	2	19	18
peak_399	1	27733624	27734242	.	619	48	133	153	6	37	45
peak_400	1	27746498	27746960	.	463	78	323	265	8	24	58
peak_401	1	27982051	27982396	.	346	45	188	191	10	35	33
peak_402	1	28078786	28079005	.	220	14	117	110	4	13	25
peak_403	1	28147756	28147983	.	228	23	126	90	0	12	17
peak_404	1	28213515	28213906	.	392	80	267	175	5	29	38
peak_405	1	28290132	28290483	.	352	83	278	237	9	38	34
peak_406	1	28315429	28316059	.	631	76	248	390	14	59	71
peak_407	1	28318799	28319184	.	386	48	254	324	5	20	29
peak_408	1	28353961	28354239	.	279	24	112	159	3	7	15
peak_409	1	28354480	28354907	.	428	127	167	175	1	19	31
peak_410	1	28363178	28363851	.	674	69	331	326	5	40	57
peak_411	1	28391791	28392064	.	274	13	90	188	0	9	28
peak_412	1	28430138	28430384	.	247	13	121	144	1	15	19
peak_413	1	28443436	28443696	.	261	32	78	145	5	15	17
peak_414	1	28460210	28460654	.	445	29	211	303	17	63	60
peak_415	1	28497812	28498184	.	373	162	146	189	7	41	44
peak_416	1	28549583	28549837	.	255	40	91	146	3	14	32
peak_417	1	28581120	28581386	.	267	50	137	146	3	16	27
peak_418	1	28588492	28588664	.	173	16	105	59	2	15	16
peak_419	1	28589438	28589656	.	219	5	70	100	1	16	23
peak_420	1	28677218	28677465	.	248	15	157	159	5	29	35
peak_421	1	28739936	28740298	.	363	25	135	216	9	25	26
peak_422	1	28863054	28863255	.	202	16	55	100	0	11	16
peak_423	1	28900201	28900438	.	238	43	101	164	9	21	16
peak_424	1	28975153	28975362	.	210	7	51	83	2	13	21
peak_425	1	29035467	29035958	.	492	65	186	233	6	49	36
peak_426	1	29036305	29036574	.	270	28	118	140	2	22	26
peak_427	1	29037398	29037751	.	354	74	144	166	4	14	29
