# Program:featureCounts v2.0.1; Command:"featureCounts" "-a" "/mnt/d/PERSONAL_SACO/Cubas lab/R/output/macs2_consensus.gff" "-o" "2022_03_10_feature_counts_macs2_consensus.txt" "-t" "gene" "-g" "gene_id" "-O" "-T" "4" "ChIP2_S5_R1_001_sorted.bam" "ChIP3_S6_R1_001_sorted.bam" "ChIP7_S4_R1_001_sorted.bam" "Input2_S2_R1_001_sorted.bam" "Input3_S3_R1_001_sorted.bam" "Input7_S1_R1_001_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	ChIP2_S5_R1_001_sorted.bam	ChIP3_S6_R1_001_sorted.bam	ChIP7_S4_R1_001_sorted.bam	Input2_S2_R1_001_sorted.bam	Input3_S3_R1_001_sorted.bam	Input7_S1_R1_001_sorted.bam
peak_225	1	2052055	2052268	.	214	19	58	58	1	16	17
peak_226	1	2052276	2052370	.	95	15	33	12	0	2	2
peak_227	1	2055794	2056123	.	330	23	36	63	5	23	31
peak_228	1	2082980	2083134	.	155	15	30	27	2	14	18
peak_229	1	2087004	2087250	.	247	13	57	61	3	27	22
peak_230	1	2089751	2090044	.	294	25	46	86	4	12	29
peak_231	1	2091086	2091343	.	258	17	55	89	10	37	54
peak_232	1	2103271	2103866	.	596	27	52	141	8	42	35
peak_233	1	2107572	2108241	.	670	36	128	207	9	46	72
peak_234	1	2126241	2126493	.	253	19	73	58	2	20	29
peak_235	1	2141141	2141698	.	558	27	124	93	5	28	47
peak_236	1	2141907	2142114	.	208	17	37	26	2	16	15
peak_237	1	2142211	2142290	.	80	2	18	17	0	4	6
peak_238	1	2149793	2149909	.	117	6	18	27	3	15	23
peak_239	1	2163266	2163451	.	186	12	31	31	5	12	21
peak_240	1	2163849	2164343	.	495	24	58	144	10	17	54
peak_241	1	2169756	2170185	.	430	29	160	144	9	27	43
peak_242	1	2171968	2172146	.	179	8	31	37	2	20	21
peak_243	1	2172399	2172739	.	341	6	94	102	5	29	35
peak_244	1	2174841	2175283	.	443	39	95	154	1	18	24
peak_245	1	2175367	2175552	.	186	10	41	27	1	13	16
peak_246	1	2176270	2178215	.	1946	86	397	433	25	112	160
peak_247	1	2191029	2191193	.	165	14	35	55	0	7	18
peak_248	1	2196578	2197666	.	1089	34	162	302	12	97	105
peak_249	1	2201391	2201849	.	459	51	140	121	7	33	45
peak_250	1	2213268	2213677	.	410	36	77	87	0	25	39
peak_251	1	2213949	2215223	.	1275	110	518	625	24	107	115
peak_252	1	2240603	2240777	.	175	3	22	52	2	17	13
peak_253	1	2241323	2241902	.	580	35	140	160	3	50	59
peak_254	1	2266811	2266963	.	153	21	17	20	4	20	11
peak_255	1	2277481	2277971	.	491	28	120	157	10	39	37
peak_256	1	2280457	2281153	.	697	31	211	294	8	43	57
peak_257	1	2282530	2283426	.	897	31	104	245	13	54	67
peak_258	1	2284246	2284408	.	163	0	41	49	4	10	20
peak_259	1	2286645	2286940	.	296	51	61	32	5	31	41
peak_260	1	2291238	2291693	.	456	11	64	73	6	47	34
peak_261	1	2299361	2299711	.	351	12	58	93	8	33	40
peak_262	1	2302711	2303470	.	760	61	124	133	7	28	68
peak_263	1	2305022	2305472	.	451	57	168	161	10	43	49
peak_264	1	2312000	2312316	.	317	4	76	74	1	17	29
peak_265	1	2312945	2313223	.	279	33	37	51	1	19	26
peak_266	1	2321574	2322056	.	483	50	134	193	9	28	36
peak_267	1	2334097	2334439	.	343	13	74	87	1	29	40
peak_268	1	2335600	2336009	.	410	32	140	173	12	58	51
peak_269	1	2338083	2338868	.	786	17	89	155	9	50	76
peak_270	1	2339361	2339628	.	268	37	24	64	6	12	27
peak_271	1	2340003	2340188	.	186	6	23	40	4	12	11
peak_272	1	2340920	2341139	.	220	7	60	64	4	13	14
peak_273	1	2347334	2349125	.	1792	115	415	556	35	119	147
peak_274	1	2351594	2351805	.	212	20	17	1	5	11	21
peak_275	1	2358862	2359184	.	323	29	82	77	1	30	24
peak_276	1	2366445	2366620	.	176	22	48	53	4	16	28
peak_277	1	2366683	2366836	.	154	9	29	44	3	8	21
peak_278	1	2368309	2368855	.	547	32	106	113	9	41	39
peak_279	1	2374414	2375123	.	710	43	113	164	14	47	61
peak_280	1	2392579	2392970	.	392	101	97	56	4	32	48
peak_281	1	2406695	2406953	.	259	4	51	56	1	24	19
peak_282	1	2407277	2407399	.	123	4	21	18	3	7	8
peak_283	1	2409553	2409765	.	213	11	24	40	2	15	27
peak_284	1	2416089	2416268	.	180	10	22	84	4	17	13
peak_285	1	2432038	2432538	.	501	44	177	126	9	34	55
peak_286	1	2432583	2434040	.	1458	60	232	329	11	61	93
peak_287	1	2437000	2437430	.	431	6	104	116	13	31	57
peak_288	1	2440425	2440578	.	154	5	30	42	1	11	11
peak_289	1	2440818	2441025	.	208	5	55	32	4	18	21
peak_290	1	2441430	2441928	.	499	26	100	151	6	28	41
peak_291	1	2445911	2446016	.	106	0	22	8	1	10	12
peak_292	1	2446124	2446187	.	64	1	25	16	6	14	12
peak_293	1	2462241	2462319	.	79	10	23	20	0	9	8
peak_294	1	2465421	2465574	.	154	9	39	28	1	14	15
peak_295	1	2475124	2475423	.	300	11	81	118	3	28	40
peak_296	1	2488752	2488900	.	149	14	16	24	1	11	23
peak_297	1	2498581	2498792	.	212	17	40	48	1	16	21
peak_298	1	2522682	2522944	.	263	6	72	43	4	10	27
peak_299	1	2533130	2533164	.	35	6	3	2	0	2	10
peak_300	1	2533271	2533370	.	100	5	0	15	3	13	14
peak_301	1	2538046	2538356	.	311	16	48	128	7	38	32
peak_302	1	2547711	2548169	.	459	21	163	179	5	32	24
peak_303	1	2563557	2563978	.	422	36	168	187	7	29	38
peak_304	1	2565337	2566501	.	1165	66	189	282	11	89	126
peak_305	1	2567160	2567542	.	383	12	85	120	2	12	15
peak_306	1	2573346	2573553	.	208	6	48	60	3	11	15
peak_307	1	2607820	2608007	.	188	5	39	51	2	11	20
peak_308	1	2613317	2613584	.	268	9	30	50	2	7	17
peak_309	1	2614392	2614468	.	77	5	21	31	0	4	12
peak_310	1	2627879	2628015	.	137	0	20	64	0	10	8
peak_311	1	2630663	2630977	.	315	10	50	53	3	23	22
peak_312	1	2637644	2637787	.	144	2	36	35	0	16	24
peak_313	1	2658344	2658659	.	316	21	56	86	5	20	36
peak_314	1	2688777	2689051	.	275	7	71	60	3	23	29
peak_315	1	2690650	2691365	.	716	12	130	174	6	45	64
peak_316	1	2712136	2712382	.	247	23	39	46	1	14	23
peak_317	1	2718036	2718408	.	373	41	87	74	7	25	43
peak_318	1	2736592	2736608	.	17	5	2	15	0	4	6
peak_319	1	2746759	2747061	.	303	7	46	89	4	11	22
peak_320	1	2754978	2755994	.	1017	78	191	224	22	75	89
peak_321	1	2789011	2789090	.	80	0	8	11	2	6	11
peak_322	1	2789785	2789909	.	125	8	11	12	6	24	25
peak_323	1	2790394	2790614	.	221	12	18	18	20	47	28
peak_324	1	2790886	2791005	.	120	5	6	16	11	24	16
peak_325	1	2791159	2791401	.	243	12	18	18	10	37	23
peak_326	1	2791724	2792012	.	289	6	17	26	11	37	47
peak_327	1	2792287	2792544	.	258	6	28	30	11	38	53
peak_328	1	2798167	2798440	.	274	5	14	36	7	31	38
peak_329	1	2799252	2799487	.	236	9	7	14	4	25	37
peak_330	1	2799949	2800298	.	350	17	9	42	5	39	37
peak_331	1	2800332	2800536	.	205	4	19	22	4	20	23
peak_332	1	2805056	2805457	.	402	1	78	90	13	43	47
peak_333	1	2817823	2818030	.	208	0	44	36	0	5	13
peak_334	1	2818359	2818718	.	360	11	72	77	8	27	32
peak_335	1	2842409	2842655	.	247	11	44	45	6	22	30
peak_336	1	2864134	2864955	.	822	30	142	148	9	64	76
peak_337	1	2873099	2873475	.	377	3	51	88	6	13	26
peak_338	1	2877434	2877615	.	182	0	19	43	6	15	18
peak_339	1	2882305	2882649	.	345	11	117	86	0	12	22
peak_340	1	2886372	2886661	.	290	28	50	112	5	28	29
peak_341	1	2888227	2888393	.	167	3	60	55	1	11	15
peak_342	1	2927401	2927630	.	230	3	25	43	3	11	18
peak_343	1	2942280	2942501	.	222	4	56	76	10	28	32
peak_344	1	2949211	2949468	.	258	20	70	95	6	23	35
peak_345	1	2964614	2964958	.	345	32	79	111	4	19	33
peak_346	1	2976754	2977187	.	434	30	129	250	5	43	54
peak_347	1	2990273	2992104	.	1832	89	365	410	22	94	125
peak_348	1	3019400	3019782	.	383	26	137	133	6	31	40
peak_349	1	3066582	3066829	.	248	11	32	52	9	30	25
peak_350	1	3072350	3073269	.	920	86	326	400	7	74	80
peak_351	1	3075453	3075806	.	354	10	61	112	6	32	38
peak_352	1	3079420	3079749	.	330	18	46	72	2	14	19
peak_353	1	3081233	3081440	.	208	3	45	45	2	8	15
peak_354	1	3084158	3084478	.	321	8	67	68	1	14	27
peak_355	1	3093259	3094058	.	800	16	105	241	16	62	93
peak_356	1	3100146	3100500	.	355	16	102	138	4	18	18
peak_357	1	3107722	3108043	.	322	12	86	75	0	29	29
peak_358	1	3131331	3131549	.	219	24	29	65	4	14	21
peak_359	1	3156363	3156580	.	218	3	40	52	3	18	15
peak_360	1	3156799	3157014	.	216	22	32	28	2	12	6
peak_361	1	3158650	3158865	.	216	26	83	88	14	48	46
peak_362	1	3167718	3168119	.	402	14	76	110	7	37	40
peak_363	1	3180359	3180888	.	530	23	165	150	12	65	56
peak_364	1	3201057	3201489	.	433	27	78	132	10	33	42
peak_365	1	3205507	3205883	.	377	28	107	118	12	40	32
peak_366	1	3212129	3212459	.	331	49	60	27	2	17	16
peak_367	1	3224329	3224539	.	211	41	54	20	5	18	19
peak_368	1	3239463	3240023	.	561	15	108	186	1	27	34
peak_369	1	3240239	3240441	.	203	13	52	63	3	19	17
peak_370	1	3241446	3241653	.	208	6	11	43	4	24	27
peak_371	1	3241926	3242387	.	462	42	123	77	3	23	25
peak_372	1	3242889	3242979	.	91	1	5	41	1	5	6
peak_373	1	3243687	3244000	.	314	29	32	85	1	16	18
peak_374	1	3247659	3248223	.	565	61	253	370	7	47	47
peak_375	1	3250031	3250271	.	241	27	29	34	0	15	24
peak_376	1	3252090	3252498	.	409	85	121	110	6	26	26
peak_377	1	3255848	3256159	.	312	30	47	74	0	18	19
peak_378	1	3261500	3261951	.	452	14	60	64	4	24	30
peak_379	1	3263880	3263976	.	97	0	8	13	2	15	6
peak_380	1	3272511	3272775	.	265	18	43	78	2	19	24
peak_381	1	3273239	3274042	.	804	30	55	135	4	54	55
peak_382	1	3278571	3278973	.	403	14	76	140	4	19	45
peak_383	1	3287477	3287630	.	154	5	30	31	1	14	14
peak_384	1	3296077	3296644	.	568	22	120	171	5	46	50
peak_385	1	3297222	3297639	.	418	81	68	305	8	47	29
peak_386	1	3309795	3309998	.	204	15	63	78	1	17	16
peak_387	1	3324461	3324579	.	119	3	26	28	3	11	14
peak_388	1	3328024	3328348	.	325	13	68	75	4	19	23
peak_389	1	3333296	3333711	.	416	41	73	127	3	43	36
peak_390	1	3356398	3356678	.	281	15	66	128	7	20	22
peak_391	1	3369194	3369394	.	201	5	33	51	0	13	13
peak_392	1	3394946	3395295	.	350	13	110	115	2	12	21
peak_393	1	3397907	3399139	.	1233	51	213	234	22	88	125
peak_394	1	3399663	3400022	.	360	16	113	106	4	22	29
peak_395	1	3419573	3419735	.	163	8	15	30	0	7	8
peak_396	1	3420033	3420256	.	224	3	24	58	7	13	12
peak_397	1	3420406	3420613	.	208	6	23	55	1	7	18
peak_398	1	3421013	3421645	.	633	141	328	420	9	42	65
peak_399	1	3422597	3422882	.	286	33	66	73	3	13	23
peak_400	1	3423736	3423976	.	241	0	29	71	3	7	21
peak_401	1	3440677	3441023	.	347	24	45	101	3	8	29
peak_402	1	3441149	3441969	.	821	34	98	223	9	26	76
peak_403	1	3442317	3442674	.	358	26	101	166	6	31	29
peak_404	1	3444006	3444142	.	137	7	24	29	1	7	9
peak_405	1	3444468	3444842	.	375	16	57	89	1	8	28
peak_406	1	3445507	3445653	.	147	16	40	23	0	5	17
peak_407	1	3446841	3447329	.	489	25	58	103	3	24	36
peak_408	1	3447851	3448522	.	672	47	90	112	3	27	67
peak_409	1	3451553	3451807	.	255	15	53	50	1	18	22
peak_410	1	3469273	3470067	.	795	68	171	217	16	75	96
peak_411	1	3472773	3472936	.	164	5	40	29	2	12	17
peak_412	1	3483811	3483954	.	144	3	27	39	1	12	17
peak_413	1	3484260	3484635	.	376	35	91	75	10	43	39
peak_414	1	3503456	3503698	.	243	56	51	59	9	24	22
peak_415	1	3506250	3506620	.	371	68	39	60	9	32	37
peak_416	1	3526042	3526533	.	492	43	141	162	12	30	33
peak_417	1	3547799	3548327	.	529	31	86	110	0	27	46
peak_418	1	3570687	3571138	.	452	13	74	133	2	35	44
peak_419	1	3571812	3572271	.	460	22	69	143	5	31	31
peak_420	1	3590419	3590975	.	557	31	116	183	9	42	44
peak_421	1	3604927	3605310	.	384	39	35	30	5	25	19
peak_422	1	3622169	3622536	.	368	79	86	100	1	16	17
peak_423	1	3663905	3664483	.	579	81	304	333	5	53	71
peak_424	1	3679090	3679102	.	13	0	0	0	1	7	7
peak_425	1	3681483	3681867	.	385	22	67	112	4	21	21
peak_426	1	3716159	3716327	.	169	9	30	57	2	9	24
peak_427	1	3732854	3733036	.	183	1	35	20	2	5	11
peak_428	1	3740447	3740654	.	208	3	40	42	3	5	8
peak_429	1	3745362	3745782	.	421	56	137	161	6	34	26
peak_430	1	3756987	3757434	.	448	62	140	129	7	38	41
peak_431	1	3757932	3758347	.	416	56	113	159	7	23	21
peak_432	1	3761673	3761908	.	236	10	35	63	7	16	21
peak_433	1	3764812	3765088	.	277	11	43	76	0	17	16
